IDENTIFICADOR_UNICO_FICHA;MODALIDAD_FORMACION;NIVEL_FORMACION;NOMBRE_JORNADA;CODIGO_SECTOR_PROGRAMA;CODIGO_PROGRAMA;DURACION_PROGRAMA;CODIGO_MUNICIPIO_CURSO;TOTAL_APRENDICES;Menores y mayores a 15 activos
1885822;1;1;2;6;13210021;40;1;7;0
1752917;4;1;2;2;93430020;300;807;39;1
1705227;1;1;2;2;21730109;40;1;17;0
1684504;4;1;2;2;83830285;320;50;50;1
1738659;4;1;2;2;83830285;320;1;39;1
1755754;1;1;2;2;22620414;40;1;15;1
1754484;1;1;1;4;22810411;40;1;28;1
1745400;1;1;2;4;84110031;60;397;22;1
1887744;1;1;2;3;83830185;70;137;29;1
1834122;1;1;2;2;83710208;40;300;19;1
1858525;1;1;2;4;13530279;40;698;40;1
1851679;1;1;2;2;52441147;80;1;29;1
1843433;1;1;2;2;22620414;40;1;22;1
1871991;1;1;2;6;84510042;80;573;22;1
1800337;1;1;2;6;13120064;40;807;10;0
1762529;1;1;2;4;83830286;40;212;21;1
1851673;1;1;2;4;13120331;70;1;20;0
1695595;1;1;2;2;86110443;66;807;21;1
1880936;1;1;2;2;22620414;40;1;20;1
1878629;1;1;2;4;22810758;40;1;13;0
1771569;1;1;2;6;22810058;40;355;25;1
1726821;1;1;2;4;52441154;50;100;16;1
1815727;1;1;2;5;41310377;140;1;36;1
1733559;1;1;2;2;22530004;40;318;20;1
1750369;1;1;2;2;84220153;100;1;21;1
1771595;1;1;2;4;13120331;70;1;15;0
1680211;1;1;2;2;52441941;90;1;22;1
1889383;1;1;2;2;83610053;50;1;39;1
1754340;1;1;2;6;13410330;20;548;14;0
1707996;4;1;2;2;93430020;300;743;26;0
1754061;1;1;2;2;11110044;40;1;23;1
1891808;1;1;2;4;63410151;40;809;17;1
1800136;1;1;2;2;83220123;40;318;15;1
1858524;1;1;2;2;83230037;40;698;30;1
1859017;1;1;2;2;83240090;60;1;15;1
1760596;1;1;2;2;22620414;40;1;16;1
1700289;1;1;2;6;22410074;40;1;18;0
1515404;1;5;2;4;228172;1900;1;40;1
1742367;4;1;2;3;13410102;100;743;35;1
1780515;1;1;2;6;22620040;40;1;30;1
1754059;1;1;2;2;93510439;60;1;20;1
1763551;1;1;2;2;52441515;40;1;12;0
1710144;1;1;2;6;22620089;50;1;30;1
1667716;1;1;2;4;84710080;90;455;13;0
1711959;1;1;2;4;13120331;70;1;14;0
1695347;1;1;2;5;41750023;40;1;11;0
1720188;1;1;2;3;21730067;40;698;30;1
1716952;1;1;2;6;13530036;50;573;24;1
1721447;1;1;2;3;13410412;40;1;33;1
1739332;1;1;2;4;13120331;70;573;29;1
1367342;1;6;2;6;228181;3885;137;17;1
1774309;1;1;2;4;52520055;60;1;20;1
1763040;4;1;2;2;83830285;320;22;42;1
1889380;1;1;2;4;83820049;40;1;21;1
1890384;4;1;2;2;83420137;64;1;12;0
1765469;1;1;2;6;41310120;60;100;12;0
1737960;1;1;2;2;22620414;40;573;17;1
1741374;1;1;2;6;83320004;100;1;22;1
1689636;1;1;2;2;12210480;60;532;15;0
1548380;1;5;3;4;228185;1900;1;12;0
1704173;1;1;2;5;13120456;40;1;10;0
1783220;1;1;2;5;22620440;20;1;34;1
1878636;1;1;2;4;86120350;50;1;22;1
1783195;1;1;2;6;22810120;40;1;25;1
1742364;1;1;2;6;83310004;120;130;26;1
1887743;1;1;2;4;11220066;50;1;15;0
1719540;1;1;2;1;93240129;60;1;22;1
1587376;1;4;1;1;733186;880;1;20;1
1762617;1;1;2;4;13120325;40;1;34;1
1762528;1;1;2;4;13120331;70;1;19;0
1531162;1;5;2;4;228185;1900;397;43;1
1695360;1;1;2;4;83830286;40;1;27;1
1762451;1;1;2;2;86120197;60;573;21;0
1738134;1;1;2;2;83930040;40;743;27;1
1567442;1;5;2;6;821225;1775;573;34;1
1880865;1;1;2;2;83710208;40;845;18;1
1754348;1;1;2;6;13120046;60;1;13;0
1750247;1;1;2;4;52520059;80;698;27;1
1878183;1;1;2;2;84220293;60;1;25;0
1738136;1;1;2;4;13120331;70;212;23;1
1735788;1;1;2;5;22520090;40;318;15;0
1471468;1;5;2;4;228172;1900;743;41;1
1871747;1;1;2;4;13120438;40;1;10;0
1753888;1;1;2;6;13410330;20;548;15;0
1758515;1;1;2;6;22620040;40;1;26;1
1694743;1;1;1;6;84240065;60;1;11;0
1456194;1;5;2;6;861121;1400;1;30;1
1711570;1;5;2;6;842405;2200;1;20;0
1766622;1;1;2;4;83830290;60;22;27;1
1711924;1;1;2;6;52440445;60;807;22;1
1822998;1;1;2;5;13410560;40;1;22;1
1739007;1;1;2;2;84220293;60;1;13;0
1695343;1;1;2;1;22620424;40;1;20;1
